编号!@#文本!@#拆分信息!@#（粗粒度）分词!@#（细粒度）分词!@#（auto粗粒度）分词!@#（auto细粒度）分词!@#词性!@#（auto）词性!@#时间!@#（auto）时间!@#地点!@#术语!@#（auto）地点!@#数量词!@#成分分析!@#（auto）成分分析!@#高阶模板!@#高阶模板类型!@#高阶模板线索词!@#二阶模板!@#二阶模板类型!@#二阶模板线索词!@#选项问句!@#（auto）高阶模板!@#（auto）二阶模板!@#（auto）高阶模板线索词!@#(auto)选项问句!@#（auto）二阶模板线索词!@#（auto）高阶模板类型!@#（auto）二阶模板类型!@#选项类别!@#题干前导类型!@#题干核心类型!@#题干核心动词!@#可删除的套话!@#上下文信息
1-A!@#下列关于A、B两地大气状况的叙述，正确的是	气压：A地低于B地!@#None!@#下列 关于 A、B两地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#下列 关于 A 、 B 两 地 大气 状况 的 叙述 ， 正确 的 是 气压 ： A地 低于 B地!@#JJ P loc NN NN DEG NN PU VA DEC VC term PU loc VV loc!@#JJ P NN NN NN DEG NN PU VA DEC VC NN NT NN VV NN!@#!@#!@#2 13 15!@#11!@#!@#!@#!@#( (IP (IP (NP (ADJP (JJ 下列)) (DNP (PP (P 关于) (NP (NP (NR A、B两地) (NN 大气)) (NP (NN 状况)))) (DEG 的)) (NP (NN 叙述))) (PU ，) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (NN 气压)))) (PU ：) (NP (NR A地)) (VP (VV 低于) (NP (NR B地)))) )!@#!@#!@#!@#比较_0(A地,气压,B地,气压,低)!@#比较!@#0_14!@#11-15!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#自定义类别!@#自定义类别!@#!@#0-1 5-10!@#2-4
16-D!@#根据人口增长的一般规律判断，图中①②③④四个时期按先后顺序排列应是	④③②①!@#None!@#根据 人口 增长 的 一般 规律 判断 ， 图 中 ① ② ③ ④ 四个 时期 按 先后 顺序 排列 应 是 ④ ③ ② ①!@#根据 人口 增长 的 一般 规律 判断 ， 图 中 ① ② ③ ④ 四个 时期 按 先后 顺序 排列 应 是 ④ ③ ② ①!@#根据 人口 增长 的 一般 规律 判断 ， 图 中 ① ② ③ ④ 四 个 时期 按 先后 顺序 排列 应 是 ④ ③ ② ①!@#根据 人口 增长 的 一般 规律 判断 ， 图 中 ① ② ③ ④ 四 个 时期 按 先后 顺序 排列 应 是 ④ ③ ② ①!@#P NN NN DEG JJ NN VV PU NN LC NN NN NN NN NN NN P NN NN VV VV VC NN NN NN NN!@#P NN NN DEG JJ NN VV PU NN LC NN NN NN NN NN NN P NN NN VV VV VC NN NN NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (PP (P 根据) (IP (NP (DNP (NP (NN 人口) (NN 增长)) (DEG 的)) (ADJP (JJ 一般)) (NP (NN 规律))) (VP (VV 判断)))) (PU ，) (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (NP (NN 四个) (NN 时期))) (VP (PP (P 按) (NP (NN 先后) (NN 顺序))) (VP (VV 排列)))) (VP (VV 应) (VP (VC 是) (NP (NP (NN ④) (NN ③)) (NP (NN ②) (NN ①)))))) )!@#!@#!@#!@#指示_0(①②③④四个时期按先后顺序排列,④③②①)!@#指示!@#0_19-20-21!@#10-25!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#0 6-9!@#1-5
17-A!@#目前印度和日本两国的人口增长阶段大致对应图示国家的	①时期和④时期!@#None!@#目前 印度 和 日本 两国 的 人口 增长 阶段 大致 对应 图示 国家 的 ① 时期 和 ④ 时期!@#目前 印度 和 日本 两国 的 人口 增长 阶段 大致 对应 图示 国家 的 ① 时期 和 ④ 时期!@#目前 印度 和 日本 两 国 的 人口 增长 阶段 大致 对应 图示 国家 的 ① 时期 和 ④ 时期!@#目前 印度 和 日本 两 国 的 人口 增长 阶段 大致 对应 图示 国家 的 ① 时期 和 ④ 时期!@#time loc CC loc NR DEG NN NN NN AD VV VV NN DEG NN NN CC NN NN!@#NT NR CC NR NR DEG NN NN NN AD VV VV NN DEG NN NN CC NN NN!@#0!@#0!@#1 3!@#!@#1 3!@#!@#!@#( (IP (NP (NT 目前)) (NP (DNP (NP (NP (NR 印度)) (CC 和) (NP (NR 日本) (NR 两国))) (DEG 的)) (NP (NN 人口) (NN 增长) (NN 阶段))) (VP (ADVP (AD 大致)) (VP (VP (VV 对应)) (VP (VV 图示) (NP (DNP (NP (NN 国家)) (DEG 的)) (NP (NP (NN ①) (NN 时期)) (CC 和) (NP (NN ④) (NN 时期)))))))) )!@#!@#!@#!@#指示_0(目前印度和日本两国的人口增长阶段,①时期和④时期)!@#指示!@#0_10!@#0-18!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#null!@#名词短语+动词短语!@#9-10!@#9!@#
17-B!@#目前印度和日本两国的人口增长阶段大致对应图示国家的	②时期和①时期!@#None!@#目前 印度 和 日本 两国 的 人口 增长 阶段 大致 对应 图示 国家 的 ② 时期 和 ① 时期!@#目前 印度 和 日本 两国 的 人口 增长 阶段 大致 对应 图示 国家 的 ② 时期 和 ① 时期!@#目前 印度 和 日本 两 国 的 人口 增长 阶段 大致 对应 图示 国家 的 ② 时期 和 ① 时期!@#目前 印度 和 日本 两 国 的 人口 增长 阶段 大致 对应 图示 国家 的 ② 时期 和 ① 时期!@#time loc CC loc NR DEG NN NN NN AD VV VV NN DEG NN NN CC NN NN!@#NT NR CC NR NR DEG NN NN NN AD VV VV NN DEG NN NN CC NN NN!@#0!@#0!@#1 3!@#!@#1 3!@#!@#!@#( (IP (NP (NT 目前)) (NP (DNP (NP (NP (NR 印度)) (CC 和) (NP (NR 日本) (NR 两国))) (DEG 的)) (NP (NN 人口) (NN 增长) (NN 阶段))) (VP (ADVP (AD 大致)) (VP (VP (VV 对应)) (VP (VV 图示) (NP (DNP (NP (NN 国家)) (DEG 的)) (NP (NP (NN ②) (NN 时期)) (CC 和) (NP (NN ①) (NN 时期)))))))) )!@#!@#!@#!@#指示_0(目前印度和日本两国的人口增长阶段,②时期和①时期)!@#指示!@#0_10!@#0-18!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#9!@#
17-C!@#目前印度和日本两国的人口增长阶段大致对应图示国家的	③时期和④时期!@#None!@#目前 印度 和 日本 两国 的 人口 增长 阶段 大致 对应 图示 国家 的 ③ 时期 和 ④ 时期!@#目前 印度 和 日本 两国 的 人口 增长 阶段 大致 对应 图示 国家 的 ③ 时期 和 ④ 时期!@#目前 印度 和 日本 两 国 的 人口 增长 阶段 大致 对应 图示 国家 的 ③ 时期 和 ④ 时期!@#目前 印度 和 日本 两 国 的 人口 增长 阶段 大致 对应 图示 国家 的 ③ 时期 和 ④ 时期!@#time loc CC loc NR DEG NN NN NN AD VV VV NN DEG NN NN CC NN NN!@#NT NR CC NR NR DEG NN NN NN AD VV VV NN DEG NN NN CC NN NN!@#0!@#0!@#1 3!@#!@#1 3!@#!@#!@#( (IP (NP (NT 目前)) (NP (DNP (NP (NP (NR 印度)) (CC 和) (NP (NR 日本) (NR 两国))) (DEG 的)) (NP (NN 人口) (NN 增长) (NN 阶段))) (VP (ADVP (AD 大致)) (VP (VP (VV 对应)) (VP (VV 图示) (NP (DNP (NP (NN 国家)) (DEG 的)) (NP (NP (NN ③) (NN 时期)) (CC 和) (NP (NN ④) (NN 时期)))))))) )!@#!@#!@#!@#指示_0(目前印度和日本两国的人口增长阶段,③时期和④时期)!@#指示!@#0_10!@#0-18!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#9!@#
17-D!@#目前印度和日本两国的人口增长阶段大致对应图示国家的	④时期和①时期!@#None!@#目前 印度 和 日本 两国 的 人口 增长 阶段 大致 对应 图示 国家 的 ④ 时期 和 ① 时期!@#目前 印度 和 日本 两国 的 人口 增长 阶段 大致 对应 图示 国家 的 ④ 时期 和 ① 时期!@#目前 印度 和 日本 两 国 的 人口 增长 阶段 大致 对应 图示 国家 的 ④ 时期 和 ① 时期!@#目前 印度 和 日本 两 国 的 人口 增长 阶段 大致 对应 图示 国家 的 ④ 时期 和 ① 时期!@#time loc CC loc NR DEG NN NN NN AD VV VV NN DEG NN NN CC NN NN!@#NT NR CC NR NR DEG NN NN NN AD VV VV NN DEG NN NN CC NN NN!@#0!@#0!@#1 3!@#!@#1 3!@#!@#!@#( (IP (NP (NT 目前)) (NP (DNP (NP (NP (NR 印度)) (CC 和) (NP (NR 日本) (NR 两国))) (DEG 的)) (NP (NN 人口) (NN 增长) (NN 阶段))) (VP (ADVP (AD 大致)) (VP (VP (VV 对应)) (VP (VV 图示) (NP (DNP (NP (NN 国家)) (DEG 的)) (NP (NP (NN ④) (NN 时期)) (CC 和) (NP (NN ①) (NN 时期)))))))) )!@#!@#!@#!@#指示_0(目前印度和日本两国的人口增长阶段,④时期和①时期)!@#指示!@#0_10!@#0-18!@#!@#!@#!@#!@#!@#!@#!@#名词短语序列(List<时间/地点/实体/其他>)!@#!@#!@#!@#9!@#
18-A!@#图示景观所在功能区的类型为	高级住宅区!@#None!@#图示 景观 所在 功能区 的 类型 为 高级 住宅区!@#图示 景观 所在 功能区 的 类型 为 高级 住宅区!@#图示 景观 所在 功能区 的 类型 为 高级 住宅区!@#图示 景观 所在 功能区 的 类型 为 高级 住宅区!@#VV NN VV NN DEG NN VC JJ NN!@#VV NN VV NN DEG NN VC JJ NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (DNP (NP (CP (IP (NP (CP (IP (VV 图示))) (NP (NN 景观))) (VP (VV 所在)))) (NP (NN 功能区))) (DEG 的)) (NP (NN 类型))) (VP (VC 为) (NP (ADJP (JJ 高级)) (NP (NN 住宅区))))) )!@#!@#!@#!@#指示_0(图示景观所在功能区的类型,高级住宅区)!@#指示!@#0_6!@#0-8!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#null!@#名词短语+动词短语!@#6!@#!@#
18-B!@#图示景观所在功能区的类型为	历史文化区!@#None!@#图示 景观 所在 功能区 的 类型 为 历史 文化区!@#图示 景观 所在 功能区 的 类型 为 历史 文化区!@#图示 景观 所在 功能区 的 类型 为 历史 文化区!@#图示 景观 所在 功能区 的 类型 为 历史 文化区!@#VV NN VV NN DEG NN VC NN NN!@#VV NN VV NN DEG NN VC NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (DNP (NP (CP (IP (NP (CP (IP (VV 图示))) (NP (NN 景观))) (VP (VV 所在)))) (NP (NN 功能区))) (DEG 的)) (NP (NN 类型))) (VP (VC 为) (NP (NN 历史) (NN 文化区)))) )!@#!@#!@#!@#指示_0(图示景观所在功能区的类型,历史文化区)!@#指示!@#0_6!@#0-8!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
18-C!@#图示景观所在功能区的类型为	中心商务区!@#None!@#图示 景观 所在 功能区 的 类型 为 中心 商务区!@#图示 景观 所在 功能区 的 类型 为 中心 商务区!@#图示 景观 所在 功能区 的 类型 为 中心商务区!@#图示 景观 所在 功能区 的 类型 为 中心商务区!@#VV NN VV NN DEG NN VC NN NN!@#VV NN VV NN DEG NN VC NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (DNP (NP (CP (IP (NP (CP (IP (VV 图示))) (NP (NN 景观))) (VP (VV 所在)))) (NP (NN 功能区))) (DEG 的)) (NP (NN 类型))) (VP (VC 为) (NP (NN 中心) (NN 商务区)))) )!@#!@#!@#!@#指示_0(图示景观所在功能区的类型,中心商务区)!@#指示!@#0_6!@#0-8!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
18-D!@#图示景观所在功能区的类型为	科教文化区!@#None!@#图示 景观 所在 功能区 的 类型 为 科教 文化区!@#图示 景观 所在 功能区 的 类型 为 科教 文化区!@#图示 景观 所在 功能区 的 类型 为 科教 文化区!@#图示 景观 所在 功能区 的 类型 为 科教 文化区!@#VV NN VV NN DEG NN VC NN NN!@#VV NN VV NN DEG NN VC NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (DNP (NP (CP (IP (NP (CP (IP (VV 图示))) (NP (NN 景观))) (VP (VV 所在)))) (NP (NN 功能区))) (DEG 的)) (NP (NN 类型))) (VP (VC 为) (NP (NN 科教) (NN 文化区)))) )!@#!@#!@#!@#指示_0(图示景观所在功能区的类型,科教文化区)!@#指示!@#0_6!@#0-8!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#!@#
19-A!@#影响图示景观所在功能区形成的主要因素是	历史因素!@#None!@#影响 图示 景观 所在 功能区 形成 的 主要 因素 是 历史 因素!@#影响 图示 景观 所在 功能区 形成 的 主要 因素 是 历史 因素!@#影响 图示 景观 所在 功能区 形成 的 主要 因素 是 历史 因素!@#影响 图示 景观 所在 功能区 形成 的 主要 因素 是 历史 因素!@#VV VV NN VV NN VV DEC JJ NN VC NN NN!@#VV VV NN VV NN VV DEC JJ NN VC NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (VP (VP (VP (VV 影响) (NP (CP (IP (VV 图示))) (NP (NN 景观)))) (VP (VV 所在) (NP (NN 功能区)))) (VP (VV 形成)))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 因素))) (VP (VC 是) (NP (NN 历史) (NN 因素)))) )!@#影响_0(历史因素,#,#,图示景观所在功能区形成)!@#影响!@#0_0!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#null!@#名词短语+动词短语!@#9!@#7!@#
19-B!@#影响图示景观所在功能区形成的主要因素是	经济因素!@#None!@#影响 图示 景观 所在 功能区 形成 的 主要 因素 是 经济 因素!@#影响 图示 景观 所在 功能区 形成 的 主要 因素 是 经济 因素!@#影响 图示 景观 所在 功能区 形成 的 主要 因素 是 经济 因素!@#影响 图示 景观 所在 功能区 形成 的 主要 因素 是 经济 因素!@#VV VV NN VV NN VV DEC JJ NN VC NN NN!@#VV VV NN VV NN VV DEC JJ NN VC NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (VP (VP (VP (VV 影响) (NP (CP (IP (VV 图示))) (NP (NN 景观)))) (VP (VV 所在) (NP (NN 功能区)))) (VP (VV 形成)))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 因素))) (VP (VC 是) (NP (NN 经济) (NN 因素)))) )!@#影响_0(经济因素,#,#,图示景观所在功能区形成)!@#影响!@#0_0!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#7!@#
19-C!@#影响图示景观所在功能区形成的主要因素是	行政因素!@#None!@#影响 图示 景观 所在 功能区 形成 的 主要 因素 是 行政 因素!@#影响 图示 景观 所在 功能区 形成 的 主要 因素 是 行政 因素!@#影响 图示 景观 所在 功能区 形成 的 主要 因素 是 行政 因素!@#影响 图示 景观 所在 功能区 形成 的 主要 因素 是 行政 因素!@#VV VV NN VV NN VV DEC JJ NN VC NN NN!@#VV VV NN VV NN VV DEC JJ NN VC NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (VP (VP (VP (VV 影响) (NP (CP (IP (VV 图示))) (NP (NN 景观)))) (VP (VV 所在) (NP (NN 功能区)))) (VP (VV 形成)))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 因素))) (VP (VC 是) (NP (NN 行政) (NN 因素)))) )!@#影响_0(行政因素,#,#,图示景观所在功能区形成)!@#影响!@#0_0!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#7!@#
19-D!@#影响图示景观所在功能区形成的主要因素是	环境因素!@#None!@#影响 图示 景观 所在 功能区 形成 的 主要 因素 是 环境 因素!@#影响 图示 景观 所在 功能区 形成 的 主要 因素 是 环境 因素!@#影响 图示 景观 所在 功能区 形成 的 主要 因素 是 环境 因素!@#影响 图示 景观 所在 功能区 形成 的 主要 因素 是 环境 因素!@#VV VV NN VV NN VV DEC JJ NN VC NN NN!@#VV VV NN VV NN VV DEC JJ NN VC NN NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (VP (VP (VP (VV 影响) (NP (CP (IP (VV 图示))) (NP (NN 景观)))) (VP (VV 所在) (NP (NN 功能区)))) (VP (VV 形成)))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 因素))) (VP (VC 是) (NP (NN 环境) (NN 因素)))) )!@#影响_0(环境因素,#,#,图示景观所在功能区形成)!@#影响!@#0_0!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#!@#名词短语(时间/地点/实体/其他)!@#!@#!@#!@#7!@#
20-A!@#该城市	功能区之间都有明显的界限!@#None!@#该 城市 功能区 之间 都 有 明显 的 界限!@#该 城市 功能区 之间 都 有 明显 的 界限!@#该 城市 功能区 之间 都 有 明显 的 界限!@#该 城市 功能区 之间 都 有 明显 的 界限!@#DT NN NN LC AD VE VA DEC NN!@#DT NN NN LC AD VE VA DEC NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 城市))) (VP (LCP (NP (NN 功能区)) (LC 之间)) (ADVP (AD 都)) (VP (VE 有) (NP (CP (IP (VP (VA 明显))) (DEC 的)) (NP (NN 界限)))))) )!@#!@#!@#!@#其他陈述_0(,,)!@#其他陈述!@#!@#0-8!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#null!@#名词短语(包括时间/地点短语)!@#!@#!@#
20-B!@#该城市	选址考虑的主要因素是地形!@#None!@#该 城市 选址 考虑 的 主要 因素 是 地形!@#该 城市 选址 考虑 的 主要 因素 是 地形!@#该 城市 选址 考虑 的 主要 因素 是 地形!@#该 城市 选址 考虑 的 主要 因素 是 地形!@#DT NN NN VV DEC JJ NN VC NN!@#DT NN NN VV DEC JJ NN VC NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (NP (DP (DT 该)) (NP (NN 城市))) (NP (NN 选址))) (VP (VV 考虑))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 因素))) (VP (VC 是) (NP (NN 地形)))) )!@#!@#!@#!@#指示_0(该城市选址考虑的因素,地形)!@#指示!@#0_7!@#0-8!@#!@#!@#!@#!@#!@#!@#!@#含主语的句子!@#!@#!@#!@#5!@#
20-C!@#该城市	有预留用地，发展空间较大!@#y!@#该 城市 有 预留 用地 ， 发展 空间 较 大!@#该 城市 有 预留 用地 ， 发展 空间 较 大!@#该 城市 有 预留 用地 ， 发展 空间 较 大!@#该 城市 有 预留 用地 ， 发展 空间 较 大!@#DT NN VE NN NN PU NN NN AD VA!@#DT NN VE VV NN PU NN NN AD VA!@#!@#!@#!@#!@#!@#!@#!@#( (IP (IP (NP (DP (DT 该)) (NP (NN 城市))) (VP (VE 有) (NP (NN 预留) (NN 用地)))) (PU ，) (IP (NP (NN 发展) (NN 空间)) (VP (ADVP (AD 较)) (VP (VA 大))))) )!@#!@#!@#!@#其他陈述_0(该城市,有,预留用地)其他陈述_1(该城市,发展空间,较大)!@#其他陈述!@#!@#0-9!@#!@#!@#!@#!@#!@#!@#!@#自定义类别!@#!@#!@#!@#!@#
20-C-0!@#该城市	有预留用地!@#ed-ori!@#该 城市 有 预留 用地!@#该 城市 有 预留 用地!@#该 城市 有 预留 用地!@#该 城市 有 预留 用地!@#DT NN VE VV NN!@#DT NN VE VV NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 城市))) (VP (VE 有) (NP (IP (VP (VV 预留))) (NP (NN 用地))))) )!@#!@#!@#!@#其他陈述_0(该城市,有,预留用地)!@#其他陈述!@#!@#0-4!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
20-C-1!@#该城市	发展空间较大!@#ed-ori!@#该 城市 发展 空间 较 大!@#该 城市 发展 空间 较 大!@#该 城市 发展 空间 较 大!@#该 城市 发展 空间 较 大!@#DT NN NN NN AD VA!@#DT NN NN NN AD VA!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 城市))) (NP (NN 发展) (NN 空间)) (VP (ADVP (AD 较)) (VP (VA 大)))) )!@#!@#!@#!@#其他陈述_0(该城市,发展空间,较大)!@#其他陈述!@#!@#0-5!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
20-D!@#该城市	服务种类多，城市等级较高!@#y!@#该 城市 服务 种类 多 ， 城市 等级 较 高!@#该 城市 服务 种类 多 ， 城市 等级 较 高!@#该 城市 服务 种类 多 ， 城市 等级 较 高!@#该 城市 服务 种类 多 ， 城市 等级 较 高!@#DT NN NN NN VA PU NN NN AD VA!@#DT NN NN NN VA PU NN NN AD VA!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 城市))) (NP (NN 服务))) (IP (IP (NP (NN 种类)) (VP (VA 多))) (PU ，) (IP (NP (NN 城市) (NN 等级)) (VP (ADVP (AD 较)) (VP (VA 高)))))) )!@#!@#!@#!@#其他陈述_0(,,)!@#其他陈述!@#!@#0-9!@#!@#!@#!@#!@#!@#!@#!@#自定义类别!@#!@#!@#!@#!@#
20-D-0!@#该城市	服务种类多!@#ed-ori!@#该 城市 服务 种类 多!@#该 城市 服务 种类 多!@#该 城市 服务 种类 多!@#该 城市 服务 种类 多!@#DT NN NN NN VA!@#DT NN NN NN VA!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (NP (DP (DT 该)) (NP (NN 城市))) (NP (NN 服务) (NN 种类))) (VP (VA 多))) )!@#!@#!@#!@#其他陈述_0(,,)!@#其他陈述!@#!@#0-4!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
20-D-1!@#该城市	城市等级较高!@#ed-ori!@#该 城市 城市 等级 较 高!@#该 城市 城市 等级 较 高!@#该 城市 城市 等级 较 高!@#该 城市 城市 等级 较 高!@#DT NN NN NN AD VA!@#DT NN NN NN AD VA!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (DP (DT 该)) (NP (NN 城市) (NN 城市) (NN 等级))) (VP (ADVP (AD 较)) (VP (VA 高)))) )!@#!@#!@#!@#其他陈述_0(,,)!@#其他陈述!@#!@#0-5!@#!@#!@#!@#!@#!@#!@#!@#不含主语的句子（动词短语)!@#!@#!@#!@#!@#
21-A!@#图中①②③功能区最合理的布局是	①－住宅区、②－工业区、③－商业区!@#None!@#图 中 ① ② ③ 功能区 最 合理 的 布局 是 ① － 住宅区 、 ② － 工业区 、 ③ － 商业区!@#图 中 ① ② ③ 功能区 最 合理 的 布局 是 ① － 住宅区 、 ② － 工业区 、 ③ － 商业区!@#图 中 ① ② ③ 功能区 最 合理 的 布局 是 ① － 住宅区 、 ② － 工业区 、 ③ － 商业区!@#图 中 ① ② ③ 功能区 最 合理 的 布局 是 ① － 住宅区 、 ② － 工业区 、 ③ － 商业区!@#NN LC NN NN NN NN AD VA DEC NN VC NN PU NN PU NN PU NN PU NN PU NN!@#NN LC NN NN NN NN AD VA DEC NN VC NN PU NN PU NN PU NN PU NN PU NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (LCP (NP (NN 图)) (LC 中)) (CP (IP (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN 功能区))) (VP (ADVP (AD 最)) (VP (VA 合理)))) (DEC 的)) (NP (NN 布局))) (VP (VC 是) (NP (NN ①) (PU －) (NN 住宅区) (PU 、) (NN ②) (PU －) (NN 工业区) (PU 、) (NN ③) (PU －) (NN 商业区)))) )!@#!@#!@#!@#指示_0(①,住宅区)指示_1(②,工业区)指示_2(③,商业区)!@#指示!@#0_12 1_16 2_20!@#11-21!@#!@#!@#!@#!@#!@#!@#!@#自定义类别!@#null!@#名词短语+动词短语!@#10!@#0-1 6-10!@#2-5
21-B!@#图中①②③功能区最合理的布局是	①－工业区、②－住宅区、③－商业区!@#None!@#图 中 ① ② ③ 功能区 最 合理 的 布局 是 ① － 工业区 、 ② － 住宅区 、 ③ － 商业区!@#图 中 ① ② ③ 功能区 最 合理 的 布局 是 ① － 工业区 、 ② － 住宅区 、 ③ － 商业区!@#图 中 ① ② ③ 功能区 最 合理 的 布局 是 ① － 工业区 、 ② － 住宅区 、 ③ － 商业区!@#图 中 ① ② ③ 功能区 最 合理 的 布局 是 ① － 工业区 、 ② － 住宅区 、 ③ － 商业区!@#NN LC NN NN NN NN AD VA DEC NN VC NN PU NN PU VV PU NN PU NN PU NN!@#NN LC NN NN NN NN AD VA DEC NN VC NN PU NN PU NN PU NN PU NN PU NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (LCP (NP (NN 图)) (LC 中)) (CP (IP (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN 功能区))) (VP (ADVP (AD 最)) (VP (VA 合理)))) (DEC 的)) (NP (NN 布局))) (VP (VC 是) (NP (NP (NN ①)) (PU －) (NP (NN 工业区)) (PU 、) (NP (VV ②)) (PU －) (NP (NN 住宅区) (PU 、) (NN ③) (PU －) (NN 商业区))))) )!@#!@#!@#!@#指示_0(①,工业区)指示_1(②,住宅区)指示_2(③,商业区)!@#指示!@#0_12 1_16 2_20!@#11-21!@#!@#!@#!@#!@#!@#!@#!@#自定义类别!@#!@#!@#!@#0-1 6-10!@#2-5
21-C!@#图中①②③功能区最合理的布局是	①－商业区、②－住宅区、③－工业区!@#None!@#图 中 ① ② ③ 功能区 最 合理 的 布局 是 ① － 商业区 、 ② － 住宅区 、 ③ － 工业区!@#图 中 ① ② ③ 功能区 最 合理 的 布局 是 ① － 商业区 、 ② － 住宅区 、 ③ － 工业区!@#图 中 ① ② ③ 功能区 最 合理 的 布局 是 ① － 商业区 、 ② － 住宅区 、 ③ － 工业区!@#图 中 ① ② ③ 功能区 最 合理 的 布局 是 ① － 商业区 、 ② － 住宅区 、 ③ － 工业区!@#NN LC NN NN NN NN AD VA DEC NN VC NN PU NN PU NN PU NN PU NN PU NN!@#NN LC NN NN NN NN AD VA DEC NN VC NN PU NN PU NN PU NN PU NN PU NN!@#!@#!@#!@#!@#!@#!@#!@#( (IP (NP (CP (IP (NP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN ①) (NN ②))) (NP (NN ③) (NN 功能区))) (VP (ADVP (AD 最)) (VP (VA 合理)))) (DEC 的)) (NP (NN 布局))) (VP (VC 是) (NP (NN ①) (PU －) (NN 商业区) (PU 、) (NN ②) (PU －) (NN 住宅区) (PU 、) (NN ③) (PU －) (NN 工业区)))) )!@#!@#!@#!@#指示_0(①,商业区)指示_1(②,住宅区)指示_2(③,工业区)!@#指示!@#0_12 1_16 2_20!@#11-21!@#!@#!@#!@#!@#!@#!@#!@#自定义类别!@#!@#!@#!@#0-1 6-10!@#2-5
